"Run","Run ID","metric","step","timestamp","value"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","25","1778753717204","'-10884.46383406637"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","26","1778753717294","'-10956.813477614547"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","27","1778753717372","'-10964.409692364485"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","28","1778753717465","'-10985.642571243567"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","29","1778753717550","'-11066.519755749314"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","31","1778753717709","'-11085.977398609466"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","41","1778753718472","'-11296.414781900397"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","42","1778753718552","'-11329.375050173318"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","1","1778753711140","'-2545.961178896443"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","2","1778753711226","'-4182.072901297888"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","5","1778753711482","'-5279.415860915995"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","6","1778753711585","'-6363.810492681934"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","7","1778753711655","'-7224.4086528804255"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","8","1778753711744","'-8260.89420293938"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","11","1778753712062","'-9232.808235293316"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","12","1778753712147","'-9980.389972451952"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","13","1778753712300","'-10120.379216662122"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","15","1778753712576","'-10188.633550591521"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","16","1778753712734","'-10190.502114598234"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","17","1778753712837","'-11494.200738276806"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","18","1778753712927","'-11516.658762738974"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","19","1778753713023","'-11680.803737525186"
"random_duration_destroy+lowest_objective_contribution_destroy__regret_repair","5c55d0e82c354dd1979cc8e79f926a1a","best_objective","39","1778753715020","'-11695.138254668505"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","1","1778753706686","10163.761346835274"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","2","1778753706782","824.4025498472813"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","3","1778753706867","'-210.94941683779484"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","4","1778753706949","'-1085.9545100676646"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","5","1778753707028","'-1108.5267286849266"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","6","1778753707106","'-4659.563015767358"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","7","1778753707190","'-5255.659482446285"
